Text, E i ________
長芋　りんご酢　シソ, E i 12536 (aimai)
小ウリ　きのこ, E i 12536 (aimai)
ターメリック　ジンジャー　赤パプリカ　オリーブオイル　（ケッパー塩）, E i 12536 (aimai)
バナナ　アボカド, E i 12536 (aimai)
ナス　りんご酢　シソ　オリーブオイル|バター, E i 12536 (aimai)
里芋　タイム, E i 12536 (aimai)
里芋　唐辛子|ペッパーホット　バター, E i 12536 (aimai)
ポテト　バター　シソ, E i 12536 (aimai)
長芋　シソ　ケッパー, E i 12536 (aimai)
シソ　レモン　ケッパー　オリーブオイル　ポテト, E i 12536 (aimai)
バター　赤パプリカ　オレガノ|タイム, E i 12536 (aimai)
バター　ポテト　オレガノ、小皿　トマトペースト, E i 12536 (aimai)
(9*5)=45, E i 12536 (aimai)
松葉土上葉灰, E i 12536 (aimai)
haiiro (karigasukunai), E i 12536 (aimai)
taisan sobawarakkurotsuchi gomakukiakatsuchi kakibaakawa, E i 12536 (aimai)
data. lands ”haiiro” zone9.csv, 
data_lands_taisan.page, E i 12536 (aimai)
koe.page, E i 12536 (aimai)
ごま茎　水煮箱, E i 12536 (aimai)
オカワカメ　水煮箱, E i 12536 (aimai)
ツルムラサキ　水煮箱, E i 12536 (aimai)
アボカド実　硬性ビニール品, E i 12536 (aimai)
クチナシの実液　50ml品, E i 12536 (aimai)
赤光品, E i 12536 (aimai)
長芋　”水煮”品, E i 12536 (aimai)
ケッパーとレモン　混合品, E i 12536 (aimai)
メロン100%ゼリー, E i 12536 (aimai)
nijimoji 128kbps, E i 12536 (aimai)
絵文字　128kbps, E i 12536 (aimai)
オーストラリア　南域, E i 12536 (aimai)
船堀ゴルフ　って　南極方向　なゴルフイング者。, E i 12536 (aimai)
レモンマートル　カルシウム少ない　すぐ乾燥期枯葉なった。レモンマートル　カリウム余域少ない。カリウム合成も少ない　カリウム貯蔵も少ない。レモンマートル　カリウム貯蔵能と　なグリーン。カリウム貯蔵能　フルーツ・長芋。, E i 12536 (aimai)
四季柑, E i 12536 (aimai)
葛まんじゅう, E i 12536 (aimai)
過剰な人工品域　って　ゲームセンター域。（過剰な　… 動性多生性0域な）, E i 12536 (aimai)
[求　データ]リップスティックパーム　実, E i 12536 (aimai)
九州　電子レンジ　チンっ！, E i 12536 (aimai)
送　ルクス📈、受　雨📈。（呼吸📈、受　雨📈。）, E i 12536 (aimai)
こんにゃくヌードル　〜ベジタブル100% ビタミン（クエン酸回路）〜, E i 12536 (aimai)
[求　データ]南極　Google scalar, E i 12536 (aimai)
